"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(휴직교원)","교장(계)","교감(남)","교감(여)","교감(휴직교원)","교감(계)","수석교사(남)","수석교사(여)","수석교사(휴직교원)","수석교사(계)","보직교사(남)","보직교사(여)","보직교사(휴직교원)","보직교사(계)","일반교사(남)","일반교사(여)","일반교사(휴직교원)","일반교사(계)","특수교사(남)","특수교사(여)","특수교사(휴직교원)","특수교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(휴직교원)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(휴직교원)","사서교사(계)","실기교사(남)","실기교사(여)","실기교사(휴직교원)","실기교사(계)","보건교사(남)","보건교사(여)","보건교사(휴직교원)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(휴직교원)","영양교사(계)","기간제교사(남)","기간제교사(여)","기간제교사(휴직교원)","기간제교사(계)","강사(남)","강사(여)","강사(휴직교원)","강사(계)","총계(남)","총계(여)","총계(휴직교원)","총계(계)","원어민강사(남)","원어민강사(여)","원어민강사(계)","휴직교원수"
"전라북도교육청","전라북도군산교육지원청","전라북도 군산시","S130002499","군산진포초등학교","02","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","1","11","0","12","2","30","2","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","2","0","2","0","0","0","0","4","45","2","49","0","0","0","2"
"전라북도교육청","전라북도익산교육지원청","전라북도 익산시","S130002502","익산옥야초등학교","02","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","0","4","0","4","3","13","4","16","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","4","21","4","25","0","0","0","4"
"전라북도교육청","전라북도전주교육지원청","전라북도 전주시 덕진구","S130002506","전주만수초등학교","02","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","2","6","0","8","6","24","5","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","10","31","5","41","0","0","0","5"
"전라북도교육청","전라북도전주교육지원청","전라북도 전주시 덕진구","S130002507","전주오송초등학교","02","공립","N","","0","1","0","1","0","2","0","2","0","1","0","1","0","12","0","12","7","48","5","55","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","7","66","5","73","0","0","0","5"
"전라북도교육청","전라북도익산교육지원청","전라북도 익산시","S130002542","익산한벌초등학교","02","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","1","7","0","8","4","24","5","28","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","6","35","5","41","0","0","0","5"
"전라북도교육청","전라북도정읍교육지원청","전라북도 정읍시","S130002543","한솔초등학교","02","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","6","6","0","12","6","26","3","32","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","1","0","1","0","0","0","0","14","37","3","51","0","0","0","3"
"전라북도교육청","전라북도전주교육지원청","전라북도 전주시 완산구","S130002572","전주문학초등학교","02","공립","N","","1","0","0","1","1","0","0","1","1","0","0","1","4","6","0","10","5","24","0","29","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","12","32","0","44","0","0","0","0"
"전라북도교육청","전라북도전주교육지원청","전라북도 전주시 완산구","S130002573","전주우림초등학교","02","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","2","6","0","8","3","27","8","30","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","37","8","42","0","0","0","8"
"전라북도교육청","전라북도군산교육지원청","전라북도 군산시","S130002582","군산미장초등학교","02","공립","N","","1","0","0","1","0","2","0","2","0","0","0","0","5","7","0","12","2","45","3","47","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","8","56","3","64","0","0","0","3"
"전라북도교육청","전라북도군산교육지원청","전라북도 군산시","S130002606","군산푸른솔초등학교","02","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","0","10","0","10","5","30","4","35","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","2","0","2","0","1","0","1","0","0","0","0","0","0","0","0","6","45","4","51","0","0","0","4"
