"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","주 출입구 접근로 설치여부","장애인 전용 주차구역 지정여부","주 출입구 높이차이 제거여부","출입구(문) 설치유무","복도","계단/승강기/경사로/휠체어리프트 유무","장애인용 대변기 설치여부","장애인용 소변기 설치여부","점자블록 설치여부","유도 및 안내설비 설치여부","경보 및 피난설비 설치여부"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 중구","S010002338","대경중학교","03","사립","N","","적정설치","적정설치","적정설치","적정설치","미설치","미설치","적정설치","적정설치","적정설치","미설치","미설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 종로구","S010002339","대신중학교","03","사립","N","","미설치","적정설치","미설치","미설치","미설치","미설치","적정설치","적정설치","미설치","미설치","미설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 종로구","S010002340","덕성여자중학교","03","사립","N","","미설치","단순설치","미설치","미설치","적정설치","미설치","단순설치","미설치","적정설치","적정설치","단순설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 중구","S010002341","덕수중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","단순설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 종로구","S010002342","동성중학교","03","사립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 용산구","S010002343","배문중학교","03","사립","Y","고교와 같은 시설사용","","","","","","","","","","",""
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 종로구","S010002344","배화여자중학교","03","사립","N","","적정설치","적정설치","적정설치","적정설치","미설치","미설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 용산구","S010002345","보성여자중학교","03","사립","N","","적정설치","적정설치","적정설치","적정설치","미설치","미설치","적정설치","미설치","적정설치","미설치","미설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 종로구","S010002346","상명대학교사범대학부속여자중학교","03","사립","N","","적정설치","적정설치","미설치","적정설치","미설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 용산구","S010002350","선린중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","미설치","미설치","미설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 용산구","S010002351","성심여자중학교","03","사립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시동작관악교육지원청","서울특별시 동작구","S010002352","숭의여자중학교","03","사립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 용산구","S010002353","신광여자중학교","03","사립","N","","단순설치","단순설치","단순설치","미설치","미설치","미설치","적정설치","적정설치","단순설치","단순설치","미설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 용산구","S010002354","오산중학교","03","사립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 용산구","S010002355","용강중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 용산구","S010002356","용산중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 중구","S010002357","장원중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","미설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 중구","S010002358","장충중학교","03","사립","N","","미설치","적정설치","미설치","적정설치","미설치","미설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 종로구","S010002359","중앙중학교","03","사립","N","","적정설치","적정설치","적정설치","적정설치","미설치","단순설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 중구","S010002360","창덕여자중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 종로구","S010002361","청운중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 용산구","S010002362","한강중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","적정설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 중구","S010002363","한양중학교","03","사립","N","","미설치","적정설치","미설치","미설치","미설치","미설치","적정설치","적정설치","미설치","미설치","미설치"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 중구","S010002364","환일중학교","03","사립","N","","적정설치","적정설치","단순설치","적정설치","단순설치","미설치","적정설치","적정설치","미설치","적정설치","단순설치"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010004058","서울체육중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","미설치","적정설치","미설치","미설치"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 강북구","S010005180","삼각산중학교","03","공립","N","","적정설치","적정설치","적정설치","단순설치","적정설치","적정설치","적정설치","적정설치","단순설치","미설치","미설치"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010005210","을지중학교","03","공립","N","","적정설치","적정설치","적정설치","단순설치","단순설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시동작관악교육지원청","서울특별시 관악구","S010005211","구암중학교","03","공립","N","","적정설치","적정설치","적정설치","미설치","미설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 성동구","S010005212","경일중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 성동구","S010005240","마장중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","미설치","미설치","미설치"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 성북구","S010005271","개운중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","단순설치","미설치","미설치"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 광진구","S010005286","양진중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
