"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","유초등부-유 학급수","유초등부-유 학생수","유초등부-유 학급당 학생수","유초등부-유-순회 학급수","유초등부-유-순회 학생수","유초등부-유-순회 학급당 학생수","유초등부-1학년 학급수","유초등부-1학년 학생수","유초등부-1학년 학급당 학생수","유초등부-2학년 학급수","유초등부-2학년 학생수","유초등부-2학년 학급당 학생수","유초등부-3학년 학급수","유초등부-3학년 학생수","유초등부-3학년 학급당 학생수","유초등부-4학년 학급수","유초등부-4학년 학생수","유초등부-4학년 학급당 학생수","유초등부-5학년 학급수","유초등부-5학년 학생수","유초등부-5학년 학급당 학생수","유초등부-6학년 학급수","유초등부-6학년 학생수","유초등부-6학년 학급당 학생수","유초등부-초-순회 학급수","유초등부-초-순회 학생수","유초등부-초-순회 학급당 학생수","유초등부 학급수(계)","유초등부 학생수(계)","유초등부 학급당 학생수(계)","중등부-1학년 학급수","중등부-1학년 학생수","중등부-1학년 학급당 학생수","중등부-2학년 학급수","중등부-2학년 학생수","중등부-2학년 학급당 학생수","중등부-3학년 학급수","중등부-3학년 학생수","중등부-3학년 학급당 학생수","중등부-순회 학급수","중등부-순회 학생수","중등부-순회 학급당 학생수","중등부 학급수(계)","중등부 학생수(계)","중등부 학급당 학생수(계)","고등부-1학년 학급수","고등부-1학년 학생수","고등부-1학년 학급당 학생수","고등부-2학년 학급수","고등부-2학년 학생수","고등부-2학년 학급당 학생수","고등부-3학년 학급수","고등부-3학년 학생수","고등부-3학년 학급당 학생수","고등부-순회 학급수","고등부-순회 학생수","고등부-순회 학급당 학생수","고등부 학급수(계)","고등부 학생수(계)","고등부 학급당 학생수(계)","전공과 학급수","전공과 학생수","전공과 학급당 학생수","총계 학급수","총계 학생수","총계 학급당 학생수","교사수","수업교원 1인당 학생수"
"전라북도교육청","전라북도교육청","전라북도 완주군","S130001764","전북푸른학교","05","사립","N","","0","0","0","0","0","0","2","10","5","2","9","4.5","1","4","4","1","6","6","1","5","5","1","7","7","1","1","1","9","42","4.7","2","9","4.5","2","10","5","2","9","4.5","0","0","0","6","28","4.7","1","8","8","2","14","7","2","15","7.5","0","0","0","5","37","7.4","2","18","9","22","125","5.7","33","3.2"
"전라북도교육청","전라북도교육청","전라북도 익산시","S130001765","전북혜화학교","05","사립","N","","1","3","3","0","0","0","1","1","1","1","3","3","2","7","3.5","2","8","4","2","7","3.5","2","8","4","0","0","0","11","37","3.4","2","8","4","2","7","3.5","3","15","5","0","0","0","7","30","4.3","3","18","6","3","18","6","3","21","7","0","0","0","9","57","6.3","1","9","9","28","133","4.8","43","2.8"
"전라북도교육청","전라북도교육청","전라북도 전주시 완산구","S130001766","전주선화학교","05","공립","N","","1","3","3","0","0","0","2","7","3.5","1","5","5","2","7","3.5","1","4","4","1","4","4","1","4","4","0","0","0","9","34","3.8","1","5","5","2","7","3.5","1","6","6","0","0","0","4","18","4.5","2","6","3","1","8","8","2","10","5","0","0","0","5","24","4.8","6","51","8.5","24","127","5.3","39","1.9"
"전라북도교육청","전라북도교육청","전라북도 전주시 덕진구","S130001767","전주유화학교","05","공립","N","","14","52","3.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","52","3.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","52","3.7","14","0"
"전라북도교육청","전라북도교육청","전라북도 전주시 완산구","S130001768","전주은화학교","05","공립","N","","0","0","0","0","0","0","1","5","5","1","3","3","1","6","6","1","5","5","2","11","5.5","1","6","6","0","0","0","7","36","5.1","2","11","5.5","3","13","4.3","3","15","5","0","0","0","8","39","4.9","3","22","7.3","3","19","6.3","2","13","6.5","1","1","1","9","55","6.1","8","66","8.3","32","196","6.1","50","2.6"
"전라북도교육청","전라북도교육청","전라북도 남원시","S130002576","한울학교","05","공립","N","","0","0","0","0","0","0","1","4","4","1","1","1","1","1","1","1","4","4","1","1","1","0","0","0","0","0","0","5","11","2.2","1","2","2","2","9","4.5","2","8","4","0","0","0","5","19","3.8","2","9","4.5","1","6","6","2","13","6.5","0","0","0","5","28","5.6","3","25","8.3","18","83","4.6","31","1.9"
"전라북도교육청","전라북도교육청","전라북도 정읍시","S130002577","다솜학교","05","공립","N","","0","0","0","0","0","0","1","2","2","1","1","1","1","2","2","1","1","1","1","2","2","1","3","3","0","0","0","6","11","1.8","1","5","5","1","4","4","2","12","6","0","0","0","4","21","5.3","2","9","4.5","2","10","5","3","16","5.3","0","0","0","7","35","5","2","16","8","19","83","4.4","31","2.2"
"전라남도교육청","전라남도교육청","전라남도 강진군","S140002321","덕수학교","05","사립","N","","0","0","0","0","0","0","1","1","1","1","2","2","1","3","3","1","5","5","1","4","4","1","7","7","0","0","0","6","22","3.7","1","7","7","1","8","8","2","15","7.5","0","0","0","4","30","7.5","2","14","7","1","9","9","1","9","9","0","0","0","4","32","8","2","19","9.5","16","103","6.4","29","2.9"
"전라남도교육청","전라남도교육청","전라남도 영암군","S140002322","소림학교","05","사립","N","","1","4","4","0","0","0","1","7","7","1","6","6","1","4","4","1","7","7","2","10","5","1","6","6","0","0","0","8","44","5.5","2","9","4.5","1","8","8","2","15","7.5","0","0","0","5","32","6.4","1","10","10","1","7","7","1","9","9","0","0","0","3","26","8.7","4","39","9.8","20","141","7.1","35","2.8"
"전라남도교육청","전라남도교육청","전라남도 목포시","S140002323","목포인성학교","05","사립","N","","1","3","3","0","0","0","0","0","0","1","10","10","1","3","3","1","4","4","1","5","5","1","5","5","1","5","5","7","35","5","1","7","7","2","11","5.5","1","12","12","0","0","0","4","30","7.5","2","15","7.5","1","4","4","2","18","9","1","7","7","6","44","7.3","2","22","11","19","131","6.9","36","2.9"
